"y2_hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop"
"105009003046001","M1",77696.2962962964,323.734567901235,77696.2962962964,240,240,100,1,FALSE,FALSE
"105009003059901","M1",NA,323.734567901235,NA,NA,NA,NA,1,FALSE,FALSE
"105009003059901","M2",NA,323.734567901235,NA,NA,NA,NA,1,FALSE,FALSE
"105009003069301","M1",104890,323.734567901235,104890,324,324,100,1,FALSE,FALSE
"105009003069301","M2",NA,323.734567901235,NA,NA,NA,NA,1,FALSE,FALSE
"105009003069301","M5",135308.888888889,323.734567901235,23308.8888888889,72,417.962436838593,17.2264284189262,2,FALSE,FALSE
"105009003076801","M1",363859.788359789,323.734567901235,194240.740740741,600,1123.94481293328,53.3834039799621,2,FALSE,FALSE
"105009003076801","M2",151927.513227513,323.734567901235,38848.1481481482,120,469.296541955518,25.5701862834894,2,FALSE,FALSE
"105009003105701","M2",112622.001763669,323.734567901235,12949.3827160494,40,347.883769391063,11.4980931907275,3,FALSE,FALSE
"105010004015101","M1",65613.3333333334,323.734567901235,34963.3333333334,108,202.676327581275,53.2869335500915,2,FALSE,FALSE
"105010004015101","M2",33525.5555555556,323.734567901235,23308.8888888889,72,103.558775860425,69.5257349285786,2,FALSE,FALSE
"105010004015105","M1",32373.4567901235,323.734567901235,32373.4567901235,100,100,100,1,FALSE,FALSE
"105010004016601","M1",283522.222222222,323.734567901235,116544.444444445,360,875.78606158833,41.1059293804131,4,FALSE,FALSE
"105010004027201","M1",43074.8677248678,323.734567901235,19424.0740740741,60,133.056126826744,45.0937521111882,3,FALSE,FALSE
"105010004033501","M1",16691.3580246914,323.734567901235,6474.6913580247,20,51.5587758604251,38.7906804733728,2,FALSE,FALSE
