"y2_hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","main.crop","soil","soilq","eroscont","erosion","slope","irrigation","ownership","land.title","cultivate","org.fert","org.fert.kg","org.fert.price","pest","pest.type","pest.price","pest.kg","nitrogen.kg","phosphorous.kg","potassium.kg","voucher","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","schl","hh.size","own.sh","rent.sh","plots","plot.missing","region","year"
1402009002045303,"M1",0,113,6.0702846336,3.59765863418579,0.4,11,"Loam","Average","NO","NO","Flat bottom","NO","Used free of charge",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,1786942.83985341,494.096973233738,1304416.00933707,2640,3616.58325522282,72.9970752418736,3,FALSE,TRUE,"YES","YES","None purchased","Male",38,1989,4,154000,0,1,"NO","Tabora",2010
1402009002045305,"M1",55,105,2.42811385344,3.53290867805481,0.1,11,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,1015298.74215075,494.096973233738,74114.5459850607,150,2054.85723886523,7.29977718952561,2,FALSE,TRUE,"YES","YES","None purchased","Female",73,NA,6,33078000,0,3,"NO","Tabora",2010
1402009002045305,"M2",0,72,1.61874256896,3.58551788330078,0.6,11,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,614120.215022786,494.096973233738,49409.6973233738,100,1242.91434331914,8.04560672563767,2,FALSE,TRUE,"YES","YES","None purchased","Female",73,NA,6,33078000,0,3,"NO","Tabora",2010
1402009002045305,"M3",49,63,1.61874256896,1.69563436508179,0.6,11,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",73,NA,6,33078000,0,3,"NO","Tabora",2010
1402009002045312,"M1",0,79,1.0117141056,0.631310164928436,0.1,13,"Loam","Average","NO","NO","Flat bottom","NO","Used free of charge",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,198227.864321249,494.096973233738,19763.8789293495,40,401.192225533985,9.97028293525883,3,FALSE,FALSE,"NO","NO","None purchased","Female",51,NA,4,12000,0,1,"NO","Tabora",2010
1402024001005501,"M1",0,70,1.21405692672,0.687966227531433,0,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,541048.486616869,494.096973233738,247048.486616869,500,1095.02489577268,45.6610623128516,3,FALSE,FALSE,"NO","YES","None purchased","Male",32,1995,3,97000,10000,1,"NO","Tabora",2010
1402024001011401,"M1",0,99,0.80937128448,0.687966227531433,0,11,"Sandy","Bad","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,491638.789293495,494.096973233738,197638.789293495,400,995.024895772677,40.1999991858881,2,FALSE,FALSE,"YES","YES","None purchased","Male",35,1992,5,48000,0,1,"NO","Tabora",2010
1402024001032801,"M1",0,210,2.0234282112,2.32289743423462,0.1,11,"Sandy","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","YES",300,0,"NO",NA,0,0,0,0,0,NA,345867.881263617,494.096973233738,345867.881263617,700,700,100,1,FALSE,FALSE,"YES","YES","None purchased","Male",41,1985,6,52000,0,1,"NO","Tabora",2010
1402024001039601,"M1",38,14,1.0117141056,2.31885075569153,0.3,11,"Clay","Good","YES","YES","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,371292.714031779,494.096973233738,88937.4551820729,180,751.45717165957,23.9534609274505,2,FALSE,FALSE,"YES","YES","None purchased","Male",39,1986,3,10000,64000,2,"NO","Tabora",2010
1402024001039601,"M2",0,13,0.0809371296540572,0.0930777788162231,0.1,11,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,19763.8789293495,494.096973233738,19763.8789293495,40,40,100,1,FALSE,FALSE,"YES","YES","None purchased","Male",39,1986,3,10000,64000,2,"NO","Tabora",2010
1402024001046001,"M1",8,72,0.20234282112,0.612937390804291,NA,11,"Loam","Average","NO","NO","Flat bottom","NO","Shared-rent",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,83141.8288483185,494.096973233738,49409.6973233738,100,168.270265458573,59.4282060038821,2,FALSE,FALSE,"YES","YES","None purchased","Female",39,1984,12,6000,0,1,"NO","Tabora",2010
1402024001059901,"M1",0,171,3.23748513792,12.1810483932495,0.1,11,"Loam","Average","NO","NO","Slightly sloped","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,339943.637955182,494.096973233738,222343.637955182,450,688.009958309071,65.4060300385724,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",30,NA,7,175000,0,1,"NO","Tabora",2010
1403001004002901,"M1",14,90,6.0702846336,4.57699871063232,0.2,11,"Loam","Average","NO","NO","Slightly sloped","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,1604264.63202675,494.096973233738,373537.311764706,756,3246.86188933167,23.2840208720924,3,FALSE,FALSE,"NO","NO","None purchased","Male",85,NA,8,57000,100000,1,"NO","Tabora",2010
